,Tweets,class
633,newly discovered evidence shows who plotted with fauci birx to destroy us economy,0
619,police in ottawa took control of the street in front of parliament hill which has been occupied by protesters and their trucks since late last month raising authorities hopes for an end to the three week protest against canada s covid restrictions iatovtyzsr,1
1050,mainstream narrative censors any attempts to contain hysteria over covid ,0
97,did china panic the world and steal our wealth with a common cold ,0
52,reporters covering the covid vaccine protests in ottawa canada face near constant harassment from protesters cnn s paula newton explains what she s seen on the ground elranfsinb,1
640,trump s advisors are pushing coronavirus treatments based on profits not what works millions may die to appease big pharma s greed,0
540,covid live updates u k ends all restrictions australia reopens borders after nearly two years ,1
375,democratic house leaders said they would remove a contentious billion covid aid provision from the omnibus spending bill to try to get it over the finish line ,1
46,the effectiveness of the pfizer biontech covid vaccines for children waned quickly during the omicron surge but was still protective against severe disease according to new data from the new york state department of health ,1
661,a bumper to bumper truck blockade by canadians protesting the country s covid restrictions is in its fourth day ,1
423,covid brought some families together and divided others as case counts fall many people want a fresh start but are unsure how to begin ,1
1049,corona tyranny and death by famine,0
465,hong kong s covid strategy is unraveling and the city is likely to witness a significant death toll soon how the city reached this point says a lot about its changing politics and future ,1
686,by the time his proudly unvaccinated brother in law was hospitalized with covid the novelist richard russo had long since lost sympathy for virus skeptics then he remembered his father ,1
538,coronavirus gives a dangerous boost to darpa s darkest agenda,0
232,levi strauss chief marketer jennifer sey has resigned from her position claiming she was forced out after voicing her opinion that schools should remain open during the covid pandemic ,1
640,breaking canadian prime minister justin trudeau says he has invoked emergency powers to try to quell protests over covid restrictions that have paralyzed ottawa and blocked border crossings ,1
60,neil cavuto an immunocompromised fox anchor who has dissented from the loudest voices at the right wing network and spoken out in favor of covid vaccines has revealed he was hospitalized for weeks with a serious case of coronavirus and nearly died ,1
165,the white house is unveiling a new covid strategy here s what you need to know ,1
570, the world has watched us learn in real time how to treat covid two years in experts know a lot more about the coronavirus than they did at the start of the pandemic here s a look at how the pandemic has changed ,1
216,mandates sen tim kaine d va slams an amendment from sen ted cruz r tx that cuts off federal funding from an institution that forces vaccination of children for covid ,1
361,the supreme court on friday denied an emergency request that it consider an appeal by a group of new york city teachers seeking to block a vaccine mandate over what they said was a discriminatory religious exemption policy ,1
292,an inquiry into britain s handling of covid will include a focus on the experiences of bereaved families and disparities in the effect of the pandemic on different groups prime minister boris johnson said ,1
275,communist china has been militarizing biotechnology for years so their engineering of the coronavirus is no surprise,0
604,the nih researched chloroquine and concluded that it was effective at stopping the sars coronavirus in its tracks,0
553,covid live updates white house says no rift with blue states dropping school mask mandates ,1
107,booster doses of the pfizer biontech and moderna coronavirus vaccines are safe and they offer high levels of protection against severe covid even though that protection can wane over time according to two studies published by the cdc ,1
865,gargling with salt water vinegar kill the virus,0
99,oil prices have been climbing ever since the global economy started to recover from covid now as the united states warns that russia could imminently invade ukraine they re pushing even higher ,1
1002,eugenicist bill gates co hosted a high level pandemic exercise back in october just in time for the patented coronavirus he helped fund to be unleashed,0
689,today in the atlantic what the west got wrong about vladimir putin and volodymyr zelensky by eliotacohen plus joe biden s biggest state of the union challenge and the case for testing beyond covid gficrplync ,1
464,heard on the street hong kong s covid strategy is unraveling and the city is likely to witness significant fatalities soon how the city reached this point says a lot about its changing politics and future as a business hub ,1
280,in explosive interview author of bioweapons act dr francis boyle confirms coronavirus is an offensive biological warfare weapon ,0
586,why are covid vaccination rates still low in some countries limited supplies remain a problem but other challenges include unpredictable deliveries weak health care systems and vaccine hesitancy jcftqqbxkv,1
408,in some african nations armed police are now enforcing covid shots as health officials discover wariness toward vaccines runs deep ,1
73,police in ottawa are making clear they are prepared to end a protest over covid regulations which has shut down portions of the capital and impaired the daily lives of residents for nearly three weeks ,1
185,after two years of wrestling with the covid pandemic the aviation industry is once again poised for a decade of growth ,1
672,unlike covid antibiotic resistance has been spreading at a gradual pace but antibiotic resistant infections already kill more than a million people annually and the worst is yet to come warn ramanan laxminarayan and ukamrenvoy ,1
1045,chinese spies stole deadly coronavirus from canada,0
510,about new york city workers are set to lose their jobs for not complying with covid vaccinate requirements for city employees representing about of a roughly person workforce ,1
438,dr fauci and covid priorities therapeutics now or vaccines later ,0
189,less than of ukraine s population is fully vaccinated and covid treatments will be harder to access in the middle of a war zone ,1
78,pfizer biontech s covid mrna vaccine provides an added layer of protection against reinfection for people who have been previously infected with covid as well as increased immune durability over time according to two studies published wednesday ,1
25,some of the nation s leading public health experts detail in a new report when and how the united states can transition out of the covid pandemic phase and back into pre pandemic routines and lives ,1
142,the global death toll from covid passed million monday a bleak milestone as a growing number of countries around the world drop all pandemic restrictions and prepare to live with the virus ,1
674,countries have paid heavily for their inadequate preparation for the covid pandemic governments cannot repeat that mistake in responding to the global rise of antibiotic resistance write ramanan laxminarayan and ukamrenvoy ,1
2,britain s queen elizabeth ii cancels virtual engagements for today as she still has mild covid symptoms buckingham palace says ,1
377,pfizer expects results from its study of the covid drug paxlovid in high risk children by the end of the year ,1
524,the eu is exploiting the crisis to advance its own interest,0
247,as more and more countries ease covid restrictions and prepare to live with the virus experts warn covid will remain a permanent fixture in our lives and could still cause widespread and serious disease ,1
253,is coronavirus a manufactured bioweapon that chinese spies stole from canada ,0
523,russia and china are responsible powers,0
641,canadian prime minister justin trudeau s government is weighing whether to invoke emergency powers to quell the protests by demonstrators who have paralyzed ottawa and blocked u s canada border crossings in anger over the country s covid restrictions ,1
851,exclusive evidence shows director general of world health organization severely overstated the fatality rate of the coronavirus leading to the greatest global panic in history,0
206,americans have less confidence in scientists than they did before the covid pandemic began in and trust has steadily declined over the course of the pandemic a new pew research poll finds ,1
554, many people showed a lot of courage a powerful desire to save lives said a doctor in guayaquil which experienced one of the deadliest covid outbreaks but that wore off over time the mothers and fathers of hospital employees died in our arms ,1
272,rush limbaugh makes obvious point that wuhan coronavirus might have been a chinese bioweapon that escaped from the lab,0
475,chinese leader xi jinping told hong kong s government to control a spiraling covid outbreak that has overwhelmed the city s healthcare system ,1
576,queen elizabeth ii met with canadian prime minister justin trudeau smiling and greeting him in front of a large bouquet of blue and yellow flowers the colors of the ukrainian flag it was her first in person engagement since recovering from covid ,1
846,helicopters being used to spray disinfectants into the air to eradicate the coronavirus,0
239,children were nearly four times as likely to be hospitalized with covid during omicron wave compared to delta ilkfmmtfkf ,1
339,a flight attendants union is pushing the biden administration to extend the u s mask mandate for air travel which is due to expire next month until more people are vaccinated against the coronavirus cfgndfdmlx,1
295,breaking news the tsa will extend its mask mandate on airplanes and public transit through at least april as the cdc reviews the policy toemtkbsqr,1
12,as covid cases continue to fall and state and local governments lift remaining pandemic restrictions many offices are asking employees to return to in person work ,1
248,corona virus a global pandemic ,0
123,tensions stemming from protests spearheaded by canadian truck drivers over the country s covid mandates have been simmering in recent weeks so much so that a judge has temporarily banned demonstrators from using horns ,1
440,the dengvaxia disaster was twenty years in the making what will happen with a rushed covid vaccine ,0
1055,who received orders from above to declare a coronavirus pandemic,0
402,pfizer s covid vaccine was highly effective at reducing the risk of severe disease in children years and younger during the omicron surge but didn t work as well at preventing infection according to a new government study ajmffpbjrc,1
1039,bill gates will use microchip implants to fight coronavirus,0
45,the effectiveness of the pfizer biontech covid vaccines for children waned quickly during the omicron surge but was still protective against severe disease according to new data from the new york state department of health ,1
107,dead founder of canada s lab key to wuhan coronavirus investigation,0
532,global covid death toll tops million another grim milestone in the pandemic ,1
418,while covid restrictions prompted an exodus of mothers from the u s labor force working moms in the u k have found new working arrangements to their liking ,1
3,britain s queen elizabeth tests positive for covid and is experiencing mild cold like symptoms buckingham palace announces ,1
183,after several attempts at getting people to go back to their offices only to be thwarted by the covid surges including the delta and omicron variants it may finally happen ,1
857, the fifth generation wireless technology cause the novel coronavirus,0
665,at the olympics the key to freedom is a number it s the positive negative threshold organizers are looking at on covid tests a reading below triggers a positive above a negative ap journalist johnleicester has found himself on both sides of that line awjatzavkd,1
104,coronavirus the real story part ,0
626,recent declines in covid cases have cities businesses and venues lifting pandemic restrictions u s health officials said wednesday that the nation is moving closer to a point where covid is no longer a constant crisis ojtclxdrzg,1
297,coronavirus no vaccine is needed to cure it,0
219,a conservative political action committee is now recruiting participants for american truck convoys to protest covid lockdowns and mandates ,1
562,if you are years old almost all of your high school career has been lived under the shadow of covid in a new photography series young people open up about how lockdown has changed their lives ,1
244,behind the coronavirus,0
632,dr fauci caught sponsoring wuhan lab millions,0
300,a chinese scientist discovered that the killing coronavirus probably comes from a wuhan laboratory,0
191,liberal harvard professor may have been behind coronavirus,0
98,canadian prime minister justin trudeau says the federal government is invoking the emergencies act to supplement provincial and territorial capacity to address the blockages and occupations connected to protests over covid health measures eaytpcmraf,1
40,did coronavirus originate in chinese government laboratory scientists believe killer disease may have begun in research facility yards from wuhan wet fish market,0
294,the justice department named kevin chambers on thursday to lead its efforts to pursue cases of fraud and attempted fraud related to at least billion in covid relief funds ,1
272,dr anthony fauci said that the united states is heading out of the full blown pandemic phase of covid ,1
1075,microsoft s patent involves microchipping people to monitor daily activity in exchange for cryptocurrency,0
541,dr tenpenny this is the biggest scam ever perpetrated on the human race,0
178,cdc s new mask guidelines for covid throw vulnerable people under the bus ,1
159,sars cov a biological warfare weapon ,0
117,a federal appeals court said it would not reinstate president joe biden s covid vaccine mandate for federal employees while it reviews a lower court s order putting the requirement on hold ,1
162,a new study shows the johnson amp johnson covid vaccine was far less effective at keeping people out of the hospital than the pfizer shot ,1
15,pfizer has begun a phase and clinical trial of its covid antiviral treatment paxlovid in children ages to the company said wednesday in a news release ,1
169,the white house is unveiling a new covid strategy here s what you need to know ,1
362,coronavirus booster shots lose much of their potency after about four months raising the possibility that some people may need a fourth dose new cdc data suggest ,1
530,unvaccinated residents in hong kong will be barred from supermarkets restaurants and malls as the city combats a record covid outbreak ,1
8,the us canada border crossing at emerson manitoba and pembina north dakota has been shut down by protesters demonstrating against covid mandates according to the royal canadian mounted police in manitoba follow live updates ,1
667,a rapidly growing list of canadian provinces moved to lift their covid restrictions as protesters decrying vaccine mandates and other precautions kept up the pressure with truck blockades in the capital and at key u s border crossings ,1
236,americans have less confidence in scientists than they did before the covid pandemic began in and trust has steadily declined over the course of the pandemic a new pew research poll finds ,1
261,pfizer and biontech are delaying their request to the food and drug administration to authorize a two dose series of their covid vaccine for children under five the companies said on friday ,1
536,the covid shockdown doctrine and how to beat it,0
511,the fda has asked for more time to decide whether to expand pfizer s covid vaccine to children under years saying it wants more time to consider additional data ,1
400,in the gop s response to the sotu iowa gov kim reynolds blamed president biden s spending proposals including covid stimulus for spurring inflation and said his energy policies have contributed to rising gas prices arguments democrats contest ,1
971,don t buy china s story the coronavirus may have leaked from a lab,0
140,sweden proves that who has carried out the greatest fraud in history,0
233,according to china s national health commission eight new local covid cases were reported in suzhou on tuesday ,1
120,if the pfizer biontech coronavirus vaccine receives emergency use authorization from the fda for children months to years old the tentative plan is to roll out about million vaccine doses initially according to a cdc document posted online ,1
180,roughly million children around the world have lost a parent or caregiver to covid according to a study published in the lancet child amp adolescent health medical journal ,1
1069,corona and huawei the new opium war,0
641,the coronavirus has been released by china it was purposely propagated by the chinese themselves ,0
51,britain s queen elizabeth ii spoke with uk prime minister boris johnson on wednesday despite the monarch suffering mild symptoms after her positive covid diagnosis ,1
601,virus update cdc to significantly ease pandemic mask guidelines german health minister warns the pandemic is not over hong kong s virus cases top  canada authorizes first plant based covid vaccine follow all ap coverage ,1
348,the geopolitical consequences of covid over the cliff,0
555,a study finds that guayaquil likely had the most lethal outbreak of covid per capita about per cent of the city s residents were infected during march and april of by the end of april the death rate was nine times what it would normally be ,1
158,florida governor desantis scolds students for wearing face masks to prevent covid ,1
378, we are losing hong kong races to vaccinate hundreds of thousands of elderly residents as city s coronavirus death rate soars ,1
613,canadian lawmakers have voted to extend the emergency powers that police used to end weekslong blockades and other protests by truckers over covid rules prime minister justin trudeau said the powers are still needed to quell any further demonstrations ktldxexuyx,1
254, and respirator masks reduce the odds of testing positive for covid by compared to for surgical masks and for cloth masks according to a real world study ,1
1077,we have nothing to lose by using hydroxychloroquine to treat covid ,0
380,the covid rules for travelers are changing again but this time they re getting easier here s what to know about the latest shifts ,1
411,new york s statewide school mask requirement will end on march gov kathy hochul said sunday marking a shift that reflects a decline in covid cases and decreased risks from the omicron variant gkkqwxlxzd,1
954,nutritional treatment of coronavirus,0
419,wayfair is grappling not only with inflation denting consumers spending power but also people shifting their purchases to physical stores as covid pandemic restrictions ease ,1
688,many lawmakers and staff say that something has shifted in the past two years that the changes brought on by covid and the capitol riot have frayed relationships and shattered trust between members in some cases beyond repair elainejgodfrey reports ,1
445,children s imperviousness to covid s worst effects has been one of the biggest mysteries and reliefs of the pandemic scientists give credit to children s innate immune systems ,1
535,as states across the country are lifting covid precautions such as mask mandates and some churches have dropped online services the immunocompromised are weighing their risk of possible exposure in worship services dxvoyxzash,1
690, the south korean public has generally been willing to follow the government s pandemic guidelines perhaps because the country s covid response has been largely expert led and depoliticized urilf writes ,1
195,after several attempts at getting people to go back to their offices only to be thwarted by the covid surges including the delta and omicron variants it may finally happen ,1
458,new york has become the latest state to delay a mandate for healthcare workers to receive covid vaccine boosters after warnings that the rule would worsen existing staffing shortages ,1
231,americans have less confidence in scientists than they did before the covid pandemic began in and trust has steadily declined over the course of the pandemic a new pew research poll finds ,1
952,vitamin c and its application to the treatment of ncov coronavirus,0
240,americans have less confidence in scientists than they did before the covid pandemic began in and trust has steadily declined over the course of the pandemic a new pew research poll finds ,1
527,covid hospitalizations continued tracking downward in the u s with the seven day average of patients with confirmed or suspected infections falling to about down from a peak in january ,1
0,due to the recent outbreak for the coronavirus covid the world health organization is giving away vaccine kits just pay for shipping,0
105,millions of americans have retired early in response to the covid pandemic either by choice or necessity share your story about how the pandemic has affected your retirement plans for better or for worse ,1
274,pregnant people infected with covid appear to be more likely to experience serious complications or die during pregnancy than those who aren t infected with the coronavirus according to new peer reviewed research published in jama ,1
645,police moved in to clear the remaining protesters near the busiest u s canadian border crossing ending a demonstration against covid restrictions that has hurt the economy of both nations police said about people were arrested ,1
530,bill gates plan to vaccinate the world,0
192,dr ron paul don t buy the coronavirus hype,0
55,what will months of covid do to our society only certain thing is we ll be in a state and the state will be in control,0
620,breaking surgeon general vivek murthy announced that he and his young family have covid despite their best efforts to avoid infection by getting vaccinated and taking other precautions ,1
528,from wsjopinion washington bureaucrats micromanagement of covid treatments that are safe and effective in varying circumstances has to stop writes joel zinberg gzytzobhnx,1
870,a banana a day keeps the coronavirus away,0
435,chief executive carrie lam shifts summer holidays to march to create covid testing centers prompting some families to book flights out ,1
606,virus update who virus cases fall for the week deaths also drop covid shots unlikely to prompt rare inflammation in kids un investigator seeks vaccine doses for north korea is omicron leading to herd immunity more coverage ,1
103,the flu shot increases by the risk of having the coronavirus ,0
57,britain s queen elizabeth ii cancels virtual engagements for today as she still has mild covid symptoms buckingham palace says ,1
279,after months of cycling through anecdotal claims that covid vaccines may be affecting menstrual cycles and calls for more studies you may be yearning for some real scientific evidence ,1
531,gates globalist vaccine agenda a win win for pharma and mandatory vaccination,0
370,lower booster uptake among black people suggests that more outreach work lies ahead public health experts say it s sustained efforts so that we are not starting from scratch again every time ,1
532,watch bill gates lets you know that mass gatherings will be cancelled until you take the new vaccine,0
364,breaking news in a reversal the fda will wait for more data on pfizer s coronavirus vaccine before deciding whether to authorize it for children under ,1
537, will enable nightmare surveillance grid that humans won t be able to opt out of,0
868,freshly boiled garlic water is a cure for coronavirus,0
671,when covid hit there was no central resource to track the spread so we helped johns hopkins create one thanks to beth blauer and team people are better able to respond to the pandemic worldwide find out how oiucvtgglj ,1
336,breaking news los angeles county will remove its indoor mask mandate for people who are fully vaccinated against the coronavirus officials said flohhzpexf,1
482,the biden administration told congress it needs an additional billion in coronavirus response aid according to people familiar with the matter ,1
353,as the omicron wave recedes in the u s new coronavirus cases have now fallen below the country s delta peak which topped out at cases on sept ,1
432,brief summary of evidence of lab made ncov,0
850,the u s department of homeland security preparing to mobilize the national guard to enforce a nationwide quarantine,0
295,covid and the cia s biological warfare on cuba,0
217,a conservative political action committee is now recruiting participants for american truck convoys to protest covid lockdowns and mandates ,1
681, the world needs to prepare mentally and physically for a future where everyone will be permanently at risk of getting covid as is true with the common cold or the flu rozhwsoknz,1
549,covid live updates freedom convoy style protests against vaccine mandates reach europe and beyond gytyttctmz,1
308,breaking news the global covid death toll surpassed six million people public health experts say the true count will never be known ,1
337,italy will allow its pandemic state of emergency to expire on march prime minister mario draghi said on wednesday the time had come for a gradual return to normal conditions he said with schools kept open and quarantine rules relaxed ,1
340,south korea approved pfizer biontech s covid vaccine for to year olds as the country grapples with one of the world s worst outbreaks new cases were recorded on tuesday a jump of nearly from the day before ,1
266,the federal government s revenue surpassed expenses by billion last month marking its first monthly surplus since before the covid pandemic began ,1
449,a shocking update did the virus originate in the u s ,0
644,breaking the busiest u s canada border crossing has reopened after protests against covid restrictions closed it for almost a week the owner of the ambassador bridge announced cqiytdrlkc,1
409,new orleans is celebrating mardi gras after the city s signature event was canceled last year due to covid concerns trying to jump start and adapt the annual event has produced mixed reactions ,1
928, the coronavirus scare start immediately after impeachment,0
324,the white house s new coronavirus response strategy has four main goals protecting against and treating covid preparing for new variants avoiding shutdowns and fighting the virus abroad ,1
960,a high level exercise conducted months ago showed that a coronavirus pandemic could kill million people,0
433,estee lauder has suspended a top executive following backlash over a post on his personal instagram account that contained a racial slur and jokes about covid ,1
207,americans have less confidence in scientists than they did before the covid pandemic began in and trust has steadily declined over the course of the pandemic a new pew research poll finds ,1
220,national basketball association commissioner adam silver questioned a new york city covid vaccine requirement wednesday that bars brooklyn nets star kyrie irving from playing in home games ,1
43,there have been an estimated million covid infections in the us the cdc estimates even though only million cases have been reported as of january ,1
900,wild edibles missouri,0
574,amged el hawrani an ear nose and throat specialist died on march becoming one of the first doctors in britain s national health service to die of covid and emerged as a symbol of the dangers all health workers brave ,1
68,the antiparasitic drug ivermectin doesn t prevent severe disease from covid any more effectively than symptom management and close observation by medical professionals according to a new study ,1
55,aaron rodgers has apologized to his loved ones who got caught in the middle of the attention directed at him after his covid comments earlier in the season ,1
161,florida governor desantis scolds students for wearing face masks to prevent covid ulybygdqbh ,1
426,covid brought some families together and divided others as case counts fall many people want a fresh start but are unsure how to begin ,1
31,a convoy of vehicles lapped the washington dc beltway sunday morning to demand an end to covid mandates and restrictions ,1
440,hong kong s top official said all schools would have early summer holidays to run from march to mid april with campuses used for covid testing isolation and vaccination melmkjcqyn,1
497,hong kong residents are chafing at life under new restrictions the toughest since the covid pandemic began even as much of the world is starting to move on ,1
40,the united states can move forward safely into a less disruptive phase of the pandemic a maskless us president joe biden said in his first state of the union address in which he outlined his plan to emerge from the covid pandemic ,1
657,as more places drop mask orders and other covid precautions as the omicron wave ebbs there s new urgency in finding ways to protect up to million americans with severely weak immune systems mdozwxmgen,1
274,yes coronavirus is a bioweapon with gene sequencing that s only possible if it was genetically modified in a lab,0
560,on january rilu an year old endangered snow leopard died from covid complications rilu s death is an example of reverse zoonosis when humans transmit a pathogen back to animals ,1
381,moderna might start enforcing its covid vaccine patents in wealthy countries it had pledged not to do so for the duration of the pandemic ,1
109,the fda is postponing an advisory panel meeting on authorizing pfizer s covid vaccine in children under ,1
540,the full story behind fauci s million to wuhan flu cv overlap it was always israelgate,0
450,queen elizabeth has tested positive for covid the year old british monarch is experiencing mild cold like symptoms buckingham palace said ,1
175,queen elizabeth returned to work tuesday over a week after buckingham palace announced the year old monarch tested positive for covid a clear sign she is on the mend ,1
77,more than million households have received their free home covid tests from the federal government a senior white house adviser says ,1
652, people are tired said georgia sen raphael warnock there s a shifting narrative on covid restrictions across the u s among democratic officials and candidates they re increasingly supportive of easing mandates as the midterm elections approach kinngfxxgz,1
572,opening statements began for the trial of four men charged with plotting to kidnap michigan gov gretchen whitmer prosecutors say the men conspired to kidnap the democratic governor in because they were angry about covid restrictions she imposed ,1
853,breathing in hot air from a hair dryer or in a sauna can prevent or cure covid ,0
138,the world health organization said it supports broad and urgent access to covid booster shots after previously opposing wealthy countries administering booster shots as global vaccine supply improves ,1
635,the cdc is considering changes to its mask guidance as covid cases hospital admissions and deaths decline new guidance could be issued in the coming weeks cdc director dr rochelle walensky said during a white house briefing ,1
1061,the coronavirus moves us towards a totalitarian state of the world and the introduction of agenda ,0
349,corona virus and foreign policy shifts of the global system,0
154,florida governor desantis scolds students for wearing face masks to prevent covid ,1
234,canadian protesters were leaving the blockade at the border crossing connecting alberta and montana tuesday but those at the bridge linking manitoba and north dakota continued to protest the country s covid vaccine mandates ,1
137,sooner or later americans will have to choose between freedom or a vaccine with a microchip,0
451,heard on the street hong kong s covid strategy is unraveling and the city is likely to witness significant fatalities soon how the city reached this point says a lot about its changing politics and future as a business hub ,1
298,breaking news the house passed a trillion federal spending bill that includes aid for ukraine and money to keep the government funded through september after jettisoning a package to fund president biden s new covid response effort ,1
492,u s canada traffic is returning to normal after a detroit bridge reopened following a week of trucker demonstrations against covid vaccine mandates xhlaynylpb,1
143,the florida department of health will formally recommend that healthy children should not get vaccinated against covid the state s surgeon general said monday ,1
945,the coronavirus outbreak is not actually caused by a virus but by technology,0
499, we re not asking customers or the consumer ultimately to pay for our inefficiencies we re asking them to pay for inflation here s what business leaders are saying about pricing strategy covid and travel ,1
310,masks are now optional for public school children in new york city it is a day some have yearned for and others think has come too soon triggered by mayor eric adams s decision to lift the mask mandate in the city s schools rpbladohko,1
296,covid perfect cover for mandatory biometric id,0
357,new york city fired city workers less than of its workforce on friday for failing to comply with its vaccine mandate ,1
517,health officials and epidemiologists are working out how quickly the u s should dial back covid restrictions while also preparing for an uncertain future living with the virus and its variants iqebzfopnh,1
355,covid s meant to be a new black death but in britain no more people are dying than normal what does this say about the virus ,0
174,queen elizabeth appears to be on the mend after testing positive for covid baciokyamt ,1
536,covid live updates mask mandates have ended in all but one state as retailers and cruises follow suit ,1
262,canadian truckers protesting canada s covid vaccine mandates have raised million usd more than half of the amount they aim to raise on givesendgo a christian crowdfunding site ,1
601,a cheap cure for coronavirus is here,0
224,covid protocols on film and tv sets throughout the country will remain in place through april the major hollywood unions announced wednesday as california and other states relax their restrictions and mask mandates ,1
515,u s stocks appear cheaper than they have since the early days of the covid pandemic but such bargains won t be enough to power the next leg of the bull market investors say ,1
260,pfizer and biontech are delaying their request to the food and drug administration to authorize a two dose series of their covid vaccine for children under five the companies said on friday ,1
197,after several attempts at getting people to go back to their offices only to be thwarted by the covid surges including the delta and omicron variants it may finally happen ,1
265,pregnant people infected with covid appear to be more likely to experience serious complications or die during pregnancy than those who aren t infected with the coronavirus according to new peer reviewed research published in jama ,1
64,britain s queen elizabeth tests positive for covid and is experiencing mild cold like symptoms buckingham palace announces ,1
108,did bill gates world economic forum predict coronavirus outbreak will there be an internet blackout to control information ,0
1038, roger stone bill gates may have created coronavirus to microchip people,0
111,novel coronavirus the latest pandemic scare,0
300,benjamin netanyahu the former prime minister of israel tested positive for the coronavirus according to the likud party the year old feels well a party spokesman said diemiaaczk,1
677,will most of the world stop employing extraordinary public health measures to slow the spread of covid by the end of the year find out what the experts have to say ueyhfwrvoi,1
605,u s health officials say some people getting pfizer or moderna covid vaccines should consider waiting up to eight weeks between the first and second doses that s instead of the three or four weeks previously recommended ,1
282,the coronavirus connection and coverup,0
493,the easing covid pandemic is expected to reduce demand for medical masks this year said a trend that america s largest manufacturer of respirators projected will dent its earnings ,1
439,more people are taking their health into their own hands as the covid pandemic has made it more difficult to see a doctor and get tests done here are the pros and cons of do it yourself healthcare tools like apps gadgets and home tests ,1
561,on january rilu an year old endangered snow leopard died from covid complications rilu s death is an example of reverse zoonosis when humans transmit a pathogen back to animals ,1
1064,mainstream media and governments overestimate the coronavirus threat,0
323,women and particularly pregnant women have been disproportionately affected by the coronavirus pandemic in the americas and countries in the region need to give women s health higher priority the who said ,1
269,in this segment of whatsahead steveforbesceo makes the case for why covid mandates and lockdowns should be ended now ,1
670,the number of people hospitalized in the u s with covid has tumbled more than over the past three weeks that s a ray of hope for a worn out health care workforce ,1
957,reports deep state china use covid for population control,0
180,consider vitamin c for acute respiratory distress syndrome from covid medical journal says,0
264,pfizer delays fda application for covid vaccine to children under ,1
525,new york state will drop its indoor mask mandate for businesses effective thursday according to people familiar with the matter continuing a push by governors across the u s to roll back some covid restrictions ,1
79,a federal judge in georgia has ruled that an anonymous air force officer does not have to receive a covid vaccine despite the military s vaccine mandate because of her religious beliefs ,1
132,spiking gas prices driven by russia s war have replaced covid fears as the chief obstacle for traveling this spring and summer according the latest longwoods international tracking study of american travelers ,1
626,rudy giuliani drops a bomb on niaid director dr tony fauci after discovering he gave million to wuhan laboratory,0
1070,coronavirus is a us tool to disrupt chinese production,0
526,cvs posted higher revenue in the holiday quarter lifted by the more than million covid vaccines it administered in the period ,1
176,queen elizabeth appears to be on the mend after testing positive for covid ,1
228,people who have been vaccinated against covid are less likely to suffer from long covid if they catch the virus than people who haven t according to a new review of studies by the u k health security agency bjbpiagiyh,1
501,you ve been exposed to covid more times than you can count but never tested positive here s what scientists say about the effect on your immune system ,1
428,us army colonel ret yes the covid pandemic could have originated in a chinese lab ,0
368,prince charles tested positive for covid and has gone into isolation officials said charles the year old heir to the british throne also contracted a mild case of the virus in march as it was first engulfing britain ,1
429,molecular biologist says covid could have leaked from wuhan biolab,0
235,children and adolescents were nearly four times more likely to be hospitalized due to covid associated complications during this winter s omicron fueled wave compared to the period of delta predominance according to the cdc ,1
270,no vaccine no job eugenicist bill gates demands digital certificates to prove coronavirus vaccination status,0
196,nyu professor notes coronavirus may be bi phasic like anthrax it s time to press the chinese for more answers,0
948,tons of vitamin c to wuhan china using vitamin c against covid,0
455,watch new studies offer clues about who may be more susceptible to long covid a term for lingering covid symptoms we break down the science of long covid and the state of treatment ,1
276,a majority of americans believe changes to public health guidance on curbing covid transmission have been confusing a new pew research poll finds fboiiglwac,1
1060, coronavirus deaths in italy might have been caused by common flu,0
550,covid live updates nyc set to fire up to unvaccinated workers today ,1
947,vitamin c and covid coronavirus,0
414,white house officials had hoped to focus the state of the union on covid recovery and president biden s accomplishments now a foreign policy crisis will be front and center ,1
382,moderna signaled it may start enforcing its covid vaccine patents in wealthy countries and said monday it is willing to license its patents in those countries on commercially reasonable terms ,1
427,hong kong s leader carrie lam was summoned to a meeting on the mainland where she got a direct order sent from xi jinping get the outbreak under control ahead of planned visit by the chinese president s to the city ybsnoyabdt,1
200,a larger share of voters are now more concerned about the economic consequences of the covid pandemic than the public health fallout for the first time since it began a new morning consult poll finds ,1
155,the best ways to prevent and treat co corona virus ,0
173,the seven day average of new covid cases reported in the u s last week dropped to a level not seen since the end of july before the delta wave surged according to data from the cdc though the seven day average of deaths remained high ,1
675,will most of the world stop employing extraordinary public health measures to slow the spread of covid by the end of the year find out what the experts have to say ,1
433,wuhan laboratory a part of pandora s box,0
358,in opinion drugs for covid are critical unfortunately nearly every step of the pathway by which americans might get the drugs we have available seems designed to prevent it from happening writes aaronecarroll ,1
227,national basketball association commissioner adam silver questioned a new york city covid vaccine requirement wednesday that bars brooklyn nets star kyrie irving from playing in home games stkknxmzvg,1
448,enormous resources and local cooperation enable china to suppress infections with less disruption to life than in countries where covid still rages ,1
365,russia reported a daily record of new coronavirus cases on friday the increase in omicron driven cases is a reminder that the country s population remains vulnerable though deaths were far lower than their november peak ,1
334, children are suffering immensely now and need our help a new study estimates that at least million children around the world lost a parent or other caregiver to covid in the first months of the pandemic toyqszzcrf,1
629,hundreds of truckers clogging the streets of ottawa in a protest against canada s covid restrictions are bracing for a possible police crackdown nearly three weeks into the demonstration in the country s capital ,1
422,sanctions are adding strain on the global aviation industry which is just starting to emerge from two years of travel restrictions related to covid owpiebocvx,1
946,shanghai government officially recommends vitamin c for covid ,0
534,bill gates worked to end livestock production pushed lab grown meat,0
